ID,site,year,site_code,Linaria_loeselii_rare,Festuca_arenaria_,Hieracium_umbellatum,Corynephorus_canescens,Rumex_acetosella,Ammophila_arenaria,Festuca_psammophila,Jasione_montana,Cardaminopsis_arenosa,Astragalus_arenarius,Artemisia_campestris,Ceratodon_purpureus,Arabis_arenosa,Tragopogon_heterospermum,Carex_arenaria,Koeleria_glauca,Rhacomitrium_canescens,Galium_verum,Brachytecium_albicans,Calamagrostis_epigejos,Populus_tremula,Sedum_acre,Arthemisia_marschalliana,Thymus_serpyllum,Tortule_ruralis,Cladonia_sylvatica,Cetaria_gracilis,Epipactis_etrorubens,Cladonia_rangifera,Agropyron_dasyanthum_alien,Corispermum_leptopterum_alien,Corispermum_palassii_alien,Gypsophila_paniculata_alien,alien_sp_comb,native_sp_comb,native_rare_sp_comb,moss_lichen_comb
1,LLO-1,2008,LLO-1_2008,0.0053,0.01565,0.00325,0.0029,0.00045,0.00165,0.00005,0.00235,0.0008,0.0177,0.00405,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127,0.0012,0,0,0.0139,0.00000,0.00000,0
2,LLO-1,2012,LLO-1_2012,0.0028,0.0259,0.00265,0,0.00015,0.00175,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039,0.0015,0,0,0.0054,0.05030,0.05415,0.0002
3,LLO-1,2015,LLO-1_2015,0.0008,0.0087,0.00025,0,0,0.002,0.0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01555,0.0114,0,0,0.02695,0.03965,0.03965,0
4,LLO-1,2020,LLO-1_2020,0.0015,0.0255,0,0,0,0.00065,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02355,0.00445,0,0,0.028,0.02965,0.02965,0
5,LLO-2,2008,LLO-2_2008,0.0049,0.0068,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0.00065,0.02875,0.02875,0
6,LLO-3,2008,LLO-3_2008,0.0039,0.0031,0,0.03975,0.00505,0,0.00905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01200,0.01200,0
7,LLO-3,2012,LLO-3_2012,0.00545,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0.0005,0.06085,0.06085,0
8,LLO-3,2014,LLO-3_2014,0.0086,0.02315,0,0.0123,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225,0,0,0.00225,0.00595,0.00595,0
9,LLO-3,2020,LLO-3_2020,0.00245,0.06215,0,0.0014,0,0.0008,0.00325,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0.00085,0.09105,0.09105,0
10,LLO-4,2008,LLO-4_2008,0.0081,0.00175,0,0.00035,0,0,0.00165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0.0006,0.07015,0.07015,0
11,LLO-4,2015,LLO-4_2015,0.0055,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0.0051,0.01185,0.01185,0
12,LLO-4,2020,LLO-4_2020,0.00005,0,0.0042,0.0965,0.0002,0.0003,0.0455,0.0077,0,0,0,0.00305,0.0002,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570,0.00570,0
13,LLO-6,2014,LLO-6_2014,0.0043,0,0.0005,0,0,0,0.203,0,0,0,0.00045,0,0,0.002,0.01985,0.0099,0.2165,0.0056,0.00435,0.00165,0.0055,0.0006,0.00125,0.0003,0,0,0,0,0,0,0,0,0.00725,0.00725,0.15820,0.15465,0.00375
14,LLO-6,2020,LLO-6_2020,0.00225,0,0.0035,0,0,0,0.1395,0,0,0,0.0067,0.0222,0,0.0007,0.01725,0.043,0.0095,0.0049,0.02665,0.00385,0.08525,0.00395,0,0,0.3245,0.021,0.0162,0.0001,0.00025,0,0,0,0.01375,0.01375,0.45785,0.24740,0.22285
